callsign,count,mean,std,min,max
TOM4GY,9,1183.7777777777778,130.39725627652004,1021.0,1402.0
EZY87CM,9,1545.7777777777778,399.9589909533782,1132.0,2297.0
TOM20H,9,1375.111111111111,361.88031324059494,1013.0,2191.0
TOM6AV,9,1116.4444444444443,123.97692437618291,992.0,1357.0
ENT444,9,1717.111111111111,295.55602025861543,1234.0,2088.0
TOM8PV,9,1884.2222222222222,287.72981153235486,1445.0,2325.0
TOM7MW,9,1600.4444444444443,548.5287392450625,1091.0,2666.0
ENT432,9,1645.0,534.9156475557617,1112.0,2388.0
TOM7KC,9,1559.3333333333333,510.67479867328484,1180.0,2740.0
TOM7GA,9,1583.5555555555557,236.154139870081,1276.0,2042.0
EZY830,9,1805.6666666666667,387.7302541716341,1388.0,2478.0
ENT440,9,1855.888888888889,276.1124972019758,1466.0,2251.0
TOM7FL,9,1869.3333333333333,208.17060311196678,1537.0,2184.0
TOM8KV,9,1679.7777777777778,319.96475500349163,1127.0,2051.0
UZB203,9,1676.5555555555557,332.72177232302937,1170.0,2095.0
EZY71QD,9,1850.0,478.3212832396233,1170.0,2608.0
EZY61XB,9,1563.6666666666667,439.3008650116683,1159.0,2578.0
TOM9DH,9,1526.7777777777778,461.86815699336154,924.0,2262.0
TOM20K,9,1379.6666666666667,344.4241571086442,1052.0,2148.0
TOM7BD,9,1903.4444444444443,561.1325848476256,1163.0,2970.0
TOM7AD,9,1241.888888888889,136.5086484846697,928.0,1409.0
TOM8MH,9,1760.3333333333333,347.1264178941154,1354.0,2449.0
EZY8026,9,1630.6666666666667,425.7223273449491,1237.0,2534.0
CFE3294,9,1866.6666666666667,373.62882651101745,1384.0,2455.0
CAI1P,9,1654.6666666666667,363.46423482923313,1215.0,2288.0
CAI49KC,9,2096.0,583.2160834544947,1200.0,2791.0
CAI45UE,9,1831.888888888889,349.3481230965913,1272.0,2456.0
EFW4GZ,9,1773.888888888889,424.8456909409711,1390.0,2823.0
VLG8470,9,1637.111111111111,477.5029959184666,1233.0,2676.0
TOM87X,9,1342.111111111111,194.5202074621326,1118.0,1698.0
EZY74HQ,9,1576.5555555555557,301.6318580285872,1218.0,2235.0
CAI3C,9,1550.888888888889,411.54721613821073,1003.0,2377.0
EZY75TM,9,1518.3333333333333,325.867304281973,1109.0,2159.0
EZY6506,9,1892.2222222222222,462.3893861719194,1226.0,2933.0
EZY6570,9,1551.2222222222222,205.40495233670595,1283.0,1857.0
ENT428,9,1489.6666666666667,277.3490580477965,1186.0,1915.0
EZY6536,9,1863.7777777777778,312.01954176692914,1307.0,2310.0
EZY78DJ,9,1216.2222222222222,135.7596937402425,1020.0,1422.0
TOM8EX,9,1325.111111111111,208.1762741311101,1081.0,1714.0
CAI1EF,9,1657.7777777777778,320.59857211853637,1110.0,2050.0
EZY6528,9,1373.0,322.0085402594161,1016.0,2065.0
TOM9EW,9,1812.888888888889,408.6570825412318,1268.0,2523.0
EZY8436,9,1399.0,210.12555770300764,1074.0,1750.0
TOM6YA,9,1901.4444444444443,499.6441511493733,871.0,2526.0
TOM9HK,9,1490.2222222222222,339.9208649736648,1036.0,1954.0
EZY86FR,9,1093.0,112.58441277548151,952.0,1268.0
